NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
1,모가디슈,류승완,"(주)덱스터스튜디오,(주)외유내강,(주)필름케이",,롯데컬처웍스(주)롯데엔터테인먼트,2021-07-,개봉영화,장편,한국,,,,,,액션,15세이상관람가,일반영화
2,블랙 위도우,케이트 쇼트랜드,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2021-07-,개봉영화,장편,미국,,,,,,액션,12세이상관람가,일반영화
3,싱크홀,김지훈,(주)더타워픽쳐스,,(주)쇼박스,2021-08-,개봉영화,장편,한국,,,,,,코미디,12세이상관람가,일반영화
4,인질,필감성,"(주)외유내강,(주)샘컴퍼니",,(주)넥스트엔터테인먼트월드(NEW),2021-08-,개봉영화,장편,한국,,,,,,액션,15세이상관람가,일반영화
5,보스 베이비 2,톰 맥그라스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2021-07-,개봉영화,장편,미국,,,,,,애니메이션,전체관람가,일반영화
6,랑종,반종 피산다나쿤,(주)노던크로스,,(주)쇼박스,2021-07-,개봉영화,장편,한국,,,,,,공포(호러),청소년관람불가,일반영화
7,발신제한,김창주,"(주)티피에스컴퍼니,(주)씨제이이엔엠",,(주)씨제이이엔엠,2021-06-,개봉영화,장편,한국,,,,,,스릴러,15세이상관람가,일반영화
8,크루엘라,크레이그 질레스피,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2021-05-,개봉영화,장편,미국,,,,,,드라마,12세이상관람가,일반영화
9,더 수어사이드 스쿼드,제임스 건,,워너브러더스 코리아(주),워너브러더스 코리아(주),2021-08-,개봉영화,장편,미국,,,,,,액션,청소년관람불가,일반영화
10,프리 가이,숀 레비,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2021-08-,개봉영화,장편,미국,750,,,,,액션,12세이상관람가,일반영화
11,정글 크루즈,자움 콜렛 세라,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2021-07-,개봉영화,장편,미국,831,,,,,액션,12세이상관람가,일반영화
12,이스케이프 룸 2: 노 웨이 아웃,애덤 로비텔,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021-07-,개봉영화,장편,미국,728,,,,,액션,15세이상관람가,일반영화
13,콰이어트 플레이스 2,존 크래신스키,,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2021-06-,개봉영화,장편,미국,,,,,,스릴러,15세이상관람가,일반영화
14,방법: 재차의,김용완,"클라이맥스 스튜디오(주),(주)씨제이이엔엠,스튜디오 드래곤,(주)키이스트",,(주)씨제이이엔엠,2021-07-,개봉영화,장편,한국,838,,,,,미스터리,15세이상관람가,일반영화
15,올드,M. 나이트 샤말란,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2021-08-,개봉영화,장편,미국,551,,,,,공포(호러),12세이상관람가,일반영화
16,루카,엔리코 카사로사,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2021-06-,개봉영화,장편,미국,856,,,,,애니메이션,전체관람가,일반영화
17,킬러의 보디가드 2,패트릭 휴즈,,(유)조이앤시네마,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹",2021-06-,개봉영화,장편,미국,975,,,,,액션,청소년관람불가,일반영화
18,귀문,심덕근,"(주)고스트픽처스,(주)주피터필름",,씨제이 씨지브이(CJ CGV)(주),2021-08-,개봉영화,장편,한국,692,,,,,미스터리,15세이상관람가,일반영화
19,미드나이트,권오승,(주)페퍼민트앤컴퍼니,,씨제이 씨지브이(CJ CGV)(주),2021-06-,개봉영화,장편,한국,693,,,,,스릴러,15세이상관람가,일반영화
20,극장판 도라에몽: 진구의 신공룡,이마이 카즈아키,,대원미디어(주),(주)리틀빅픽쳐스,2021-08-,개봉영화,장편,일본,502,,,,,애니메이션,전체관람가,일반영화
21,퍼피 구조대 더 무비,캘런 브런커,,,롯데컬처웍스(주)롯데엔터테인먼트,2021-08-,개봉영화,장편,미국,355,,,,,애니메이션,전체관람가,일반영화
22,꽃다발 같은 사랑을 했다,도이 노부히로,,(주)미디어캐슬,"(주)리틀빅픽쳐스,(주)레드로버",2021-07-,개봉영화,장편,일본,198,,,,,멜로/로맨스,12세이상관람가,독립/예술영화
23,레미니센스,리사 조이,,워너브러더스 코리아(주),워너브러더스 코리아(주),2021-08-,개봉영화,장편,미국,548,,,,,SF,12세이상관람가,일반영화
24,은혼 더 파이널,,,에스엠지홀딩스 주식회사,워터홀컴퍼니(주),2021-07-,개봉영화,장편,일본,170,,,,,애니메이션,15세이상관람가,일반영화
25,인 더 하이츠,존 추,,워너브러더스 코리아(주),워너브러더스 코리아(주),2021-06-,개봉영화,장편,미국,649,,,,,뮤지컬,12세이상관람가,일반영화
26,괴기맨숀,조바른,(주)엠씨엠씨,,(주)콘텐츠판다,2021-06-,개봉영화,장편,한국,131,,,,,공포(호러),15세이상관람가,일반영화
27,아이스 로드,조나단 헨스라이,,(유)조이앤시네마,"(주)스튜디오 산타클로스엔터테인먼트,(주)제이앤씨미디어그룹",2021-07-,개봉영화,장편,미국,344,,,,,스릴러,12세이상관람가,일반영화
28,컨저링3: 악마가 시켰다,마이클 차베즈,,워너브러더스 코리아(주),워너브러더스 코리아(주),2021-06-,개봉영화,장편,미국,,,,,,공포(호러),15세이상관람가,일반영화
29,여름날 우리,한톈,,찬란,"찬란,메가박스중앙(주)",2021-08-,개봉영화,장편,중국,262,,,,,코미디,12세이상관람가,독립/예술영화
30,그린 나이트,데이빗 로워리,,찬란,(주)팝엔터테인먼트,2021-08-,개봉영화,장편,미국,235,,,,,어드벤처,15세이상관람가,독립/예술영화
31,스페이스 잼: 새로운 시대,말콤 D. 리,,워너브러더스 코리아(주),워너브러더스 코리아(주),2021-07-,개봉영화,장편,미국,521,,,,,애니메이션,전체관람가,일반영화
32,체르노빌 1986,다닐라 코즈로브스키,,주식회사 풍경소리,(주)팝엔터테인먼트,2021-06-,개봉영화,장편,러시아,182,,,,,액션,12세이상관람가,독립/예술영화
33,오필리아,클레어 맥카시,,그린나래미디어(주),(주)홈초이스,2021-07-,개봉영화,장편,미국,117,,,,,멜로/로맨스,15세이상관람가,독립/예술영화
34,블랙핑크 더 무비,"오윤동,정수이",씨제이포디플렉스 주식회사,,씨제이포디플렉스 주식회사,2021-08-,개봉영화,장편,한국,147,,,,,공연,전체관람가,일반영화
35,이번엔 잘 되겠지,이승수,무진영화사,,THE 픽쳐스,2021-07-,개봉영화,장편,한국,48,,,,,코미디,15세이상관람가,독립/예술영화
36,호스트: 접속금지,롭 새비지,,씨네쿼넌 픽쳐스,(주)넥스트엔터테인먼트월드(NEW),2021-07-,개봉영화,장편,영국,148,,,,,공포(호러),15세이상관람가,독립/예술영화
37,분노의 질주: 더 얼티메이트,저스틴 린,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2021-05-,개봉영화,장편,미국,,,,,,액션,12세이상관람가,일반영화
38,빛나는 순간,소준문,"(주)명필름,웬에버스튜디오,명필름랩",,"(주)명필름,(주)씨네필운",2021-06-,개봉영화,장편,한국,267,,,,,드라마,12세이상관람가,독립/예술영화
39,피닉스,크리스티안 펫졸드,,M&M 인터내셔널,M&M 인터내셔널,2021-07-,개봉영화,장편,독일,54,,,,,드라마,12세이상관람가,독립/예술영화
40,남색대문,이치엔,,오드,오드,2021-08-,개봉영화,장편,대만,79,,,,,드라마,12세이상관람가,독립/예술영화
41,팜 스프링스,맥스 바버카우,,그린나래미디어(주),(주)디스테이션,2021-08-,개봉영화,장편,미국,83,,,,,코미디,15세이상관람가,독립/예술영화
42,코다,션 헤이더,,판씨네마(주),판씨네마(주),2021-08-,개봉영화,장편,프랑스,293,,,,,드라마,12세이상관람가,독립/예술영화
43,매직아치,바실리 로벤스키,,(주)영화사 빅,(주)영화사 빅,2021-07-,개봉영화,장편,러시아,181,,,,677,애니메이션,전체관람가,일반영화
44,"우리, 둘",,,그린나래미디어(주),"그린나래미디어(주),(주)버킷스튜디오",2021-07-,개봉영화,장편,프랑스,54,,,,,드라마,12세이상관람가,독립/예술영화
45,액션히어로,이진호,한국예술종합학교 산학협력단,,(주)트리플픽쳐스,2021-07-,개봉영화,장편,한국,110,,,,,액션,12세이상관람가,독립/예술영화
46,극장판 귀멸의 칼날: 무한열차편,소토자키 하루오,,에스엠지홀딩스 주식회사,워터홀컴퍼니(주),2021-01-,개봉영화,장편,일본,380,,,,,애니메이션,15세이상관람가,일반영화
47,나는 나대로 혼자서 간다,오키타 슈이치,,(주)영화사 진진,(주)영화사 진진,2021-07-,개봉영화,장편,일본,23,,,,,드라마,12세이상관람가,독립/예술영화
48,다크 앤드 위키드,브라이언 버티노,,(주)히스토리필름,와이드 릴리즈(주),2021-06-,개봉영화,장편,미국,164,,,,,공포(호러),15세이상관람가,일반영화
